Character,Degree,Betweenness,Closeness,Eigenvector,Degree_norm,Betweenness_norm,Closeness_norm,Eigenvector_norm,Importance_Score,Connections,Community
Thomas Lawrence,0.38461538461538464,0.3782051282051282,0.6666666666666666,0.408028794851301,1.0,1.0,1.0,0.8415341378774127,0.9683068275754826,5,2
Aldo Bellini,0.38461538461538464,0.10897435897435898,0.5555555555555556,0.4848630334598964,1.0,0.288135593220339,0.8333333333333334,1.0,0.7531073446327683,5,0
Goffredo Tedesco,0.3076923076923077,0.2692307692307692,0.5555555555555556,0.2203497380150186,0.8,0.711864406779661,0.8333333333333334,0.4544576979660463,0.7111175282937743,4,1
Joseph Tremblay,0.3076923076923077,0.07692307692307693,0.5263157894736842,0.43249966431392073,0.8,0.2033898305084746,0.7894736842105263,0.8920037917258407,0.6373124443398157,4,0
Joshua Adeyemi,0.23076923076923078,0.0,0.4,0.3449312629661361,0.6,0.0,0.6000000000000001,0.7113993832542108,0.44227987665084223,3,0
Raymond O'Malley,0.23076923076923078,0.0,0.4,0.3449312629661361,0.6,0.0,0.6000000000000001,0.7113993832542108,0.44227987665084223,3,0
Agnes,0.15384615384615385,0.0,0.47619047619047616,0.2439896543406179,0.4,0.0,0.7142857142857143,0.5032135623942108,0.36349985533598506,2,2
Vincent Benitez,0.23076923076923078,0.0,0.4,0.1327813366672339,0.6,0.0,0.6000000000000001,0.2738532894944164,0.35477065789888335,3,1
Sabbadin,0.23076923076923078,0.0,0.4,0.1327813366672339,0.6,0.0,0.6000000000000001,0.2738532894944164,0.35477065789888335,3,1
Mandorff,0.23076923076923078,0.0,0.4,0.1327813366672339,0.6,0.0,0.6000000000000001,0.2738532894944164,0.35477065789888335,3,1
Lombardi,0.07692307692307693,0.0,0.4166666666666667,0.11149717849267374,0.2,0.0,0.6250000000000001,0.22995603046297364,0.23099120609259477,1,2
Janusz Woźniak,0.07692307692307693,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.06,1,3
Villanueva,0.07692307692307693,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.06,1,3
Shanumi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4
